#Lambda (AA)  Relative Transmission
      8670.00   0.00352111
      8675.00   0.00344411
      8680.00   0.00336498
      8685.00   0.00327540
      8690.00   0.00333235
      8695.00   0.00321762
      8700.00   0.00312074
      8705.00   0.00302561
      8710.00   0.00303875
      8715.00   0.00301646
      8720.00   0.00308903
      8725.00   0.00303148
      8730.00   0.00258956
      8735.00   0.00286571
      8740.00   0.00284328
      8745.00   0.00251890
      8750.00   0.00265816
      8755.00   0.00243956
      8760.00   0.00251332
      8765.00   0.00234555
      8770.00   0.00262555
      8775.00   0.00213271
      8780.00   0.00245928
      8785.00   0.00235191
      8790.00   0.00225597
      8795.00   0.00210926
      8800.00   0.00203824
      8805.00   0.00205335
      8810.00   0.00198271
      8815.00   0.00133555
      8820.00   0.00198573
      8825.00   0.00196193
      8830.00   0.00194087
      8835.00   0.00174682
      8840.00   0.00199120
      8845.00   0.00222030
      8850.00   0.00148727
      8855.00   0.00197300
      8860.00   0.00216841
      8865.00   0.00138300
      8870.00  0.000899284
      8875.00   0.00134508
      8880.00   0.00149436
      8885.00   0.00176439
      8890.00   0.00132183
      8895.00   0.00129253
      8900.00   0.00138175
      8905.00   0.00131379
      8910.00   0.00199708
      8915.00   0.00131227
      8920.00   0.00123875
      8925.00   0.00162324
      8930.00   0.00127038
      8935.00   0.00164117
      8940.00   0.00178424
      8945.00   0.00244262
      8950.00   0.00151800
      8955.00   0.00141727
      8960.00   0.00229880
      8965.00   0.00233412
      8970.00   0.00226830
      8975.00   0.00102293
      8980.00   0.00124481
      8985.00   0.00239209
      8990.00   0.00122803
      8995.00   0.00137111
      9000.00   0.00132461
      9005.00   0.00134169
      9010.00   0.00132933
      9015.00   0.00130770
      9020.00   0.00124613
      9025.00   0.00124964
      9030.00   0.00121120
      9035.00   0.00119710
      9040.00   0.00122711
      9045.00   0.00120746
      9050.00   0.00115565
      9055.00   0.00118205
      9060.00   0.00113796
      9065.00   0.00110341
      9070.00   0.00108759
      9075.00   0.00111708
      9080.00   0.00107052
      9085.00   0.00103961
      9090.00   0.00106324
      9095.00   0.00106525
      9100.00   0.00104333
      9105.00  0.000993536
      9110.00   0.00101444
      9115.00  0.000994981
      9120.00  0.000960900
      9125.00  0.000979087
      9130.00  0.000959785
      9135.00  0.000952220
      9140.00  0.000909842
      9145.00  0.000946520
      9150.00  0.000900630
      9155.00  0.000897414
      9160.00  0.000916496
      9165.00  0.000881456
      9170.00  0.000859069
      9175.00  0.000869172
      9180.00  0.000859259
      9185.00  0.000845161
      9190.00  0.000836309
      9195.00  0.000810604
      9200.00  0.000831265
      9205.00  0.000801823
      9210.00  0.000796269
      9215.00  0.000788889
      9220.00  0.000779586
      9225.00  0.000779826
      9230.00  0.000770177
      9235.00  0.000770939
      9240.00  0.000755998
      9245.00  0.000736253
      9250.00  0.000772962
      9255.00  0.000720791
      9260.00  0.000716523
      9265.00  0.000717836
      9270.00  0.000666424
      9275.00  0.000699766
      9280.00  0.000783059
      9285.00  0.000668493
      9290.00  0.000602535
      9295.00  0.000703063
      9300.00  0.000681236
      9305.00  0.000671016
      9310.00  0.000644552
      9315.00  0.000657549
      9320.00  0.000642936
      9325.00  0.000633979
      9330.00  0.000673750
      9335.00  0.000665662
      9340.00  0.000589362
      9345.00  0.000601451
      9350.00  0.000647762
      9355.00  0.000607273
      9360.00  0.000581477
      9365.00  0.000614224
      9370.00  0.000570214
      9375.00  0.000583756
      9380.00  0.000609550
      9385.00  0.000617306
      9390.00  0.000589164
      9395.00  0.000563437
      9400.00  0.000550047
      9405.00  0.000568874
      9410.00  0.000574123
      9415.00  0.000556941
      9420.00  0.000550415
      9425.00  0.000549945
      9430.00  0.000562819
      9435.00  0.000558590
      9440.00  0.000543270
      9445.00  0.000533575
      9450.00  0.000492470
      9455.00  0.000566916
      9460.00  0.000544360
      9465.00  0.000539985
      9470.00  0.000506875
      9475.00  0.000513884
      9480.00  0.000527261
      9485.00  0.000469930
      9490.00  0.000516019
      9495.00  0.000510444
      9500.00  0.000517290
      9505.00  0.000474235
      9510.00  0.000477954
      9515.00  0.000491734
      9520.00  0.000514356
      9525.00  0.000519331
      9530.00  0.000506285
      9535.00  0.000424875
      9540.00  0.000482736
      9545.00  0.000544942
      9550.00  0.000478309
      9555.00  0.000475279
      9560.00  0.000472620
      9565.00  0.000476459
      9570.00  0.000492378
      9575.00  0.000465232
      9580.00  0.000447514
      9585.00  0.000437669
      9590.00  0.000458503
      9595.00  0.000458733
      9600.00  0.000420979
      9605.00  0.000449622
      9610.00  0.000512945
      9615.00  0.000430526
      9620.00  0.000355592
      9625.00  0.000469388
      9630.00  0.000458908
      9635.00  0.000463384
      9640.00  0.000386723
      9645.00  0.000403283
      9650.00  0.000431613
      9655.00  0.000439515
      9660.00  0.000435372
      9665.00  0.000386114
      9670.00  0.000440846
      9675.00  0.000442042
      9680.00  0.000455180
      9685.00  0.000420641
      9690.00  0.000454423
      9695.00  0.000442605
      9700.00  0.000419828
      9705.00  0.000411154
      9710.00  0.000390647
      9715.00  0.000380399
      9720.00  0.000443865
      9725.00  0.000364220
      9730.00  0.000406802
      9735.00  0.000418346
      9740.00  0.000389265
      9745.00  0.000422829
      9750.00  0.000395991
      9755.00  0.000377007
      9760.00  0.000398104
      9765.00  0.000384910
      9770.00  0.000387059
      9775.00  0.000405910
      9780.00  0.000400941
      9785.00  0.000345716
      9790.00  0.000406853
      9795.00  0.000437944
      9800.00  0.000407162
      9805.00  0.000392036
      9810.00  0.000377833
      9815.00  0.000418590
      9820.00  0.000396188
      9825.00  0.000347739
      9830.00  0.000352019
      9835.00  0.000395730
      9840.00  0.000402202
      9845.00  0.000364696
      9850.00  0.000389541
      9855.00  0.000376502
      9860.00  0.000370631
      9865.00  0.000380560
      9870.00  0.000361919
      9875.00  0.000408741
      9880.00  0.000359805
      9885.00  0.000353101
      9890.00  0.000381472
      9895.00  0.000377777
      9900.00  0.000382402
      9905.00  0.000352645
      9910.00  0.000388279
      9915.00  0.000372842
      9920.00  0.000366655
      9925.00  0.000378971
      9930.00  0.000364244
      9935.00  0.000392000
      9940.00  0.000356924
      9945.00  0.000360089
      9950.00  0.000374587
      9955.00  0.000377399
      9960.00  0.000371585
      9965.00  0.000385893
      9970.00  0.000406101
      9975.00  0.000394516
      9980.00  0.000334110
      9985.00  0.000379239
      9990.00  0.000368600
      9995.00  0.000305203
      10000.0  0.000440470
      10005.0  0.000369671
      10010.0  0.000340093
      10015.0  0.000387528
      10020.0  0.000366165
      10025.0  0.000355944
      10030.0  0.000365551
      10035.0  0.000327515
      10040.0  0.000378693
      10045.0  0.000341165
      10050.0  0.000370931
      10055.0  0.000379362
      10060.0  0.000342167
      10065.0  0.000356401
      10070.0  0.000348074
      10075.0  0.000358549
      10080.0  0.000331161
      10085.0  0.000339666
      10090.0  0.000363086
      10095.0  0.000351925
      10100.0  0.000332724
      10105.0  0.000330790
      10110.0  0.000342650
      10115.0  0.000379982
      10120.0  0.000321801
      10125.0  0.000342044
      10130.0  0.000367079
      10135.0  0.000361853
      10140.0  0.000281288
      10145.0  0.000309079
      10150.0  0.000393000
      10155.0  0.000374000
      10160.0  0.000358232
      10165.0  0.000343664
      10170.0  0.000327378
      10175.0  0.000322209
      10180.0  0.000362129
      10185.0  0.000342544
      10190.0  0.000281129
      10195.0  0.000342461
      10200.0  0.000293907
      10205.0  0.000370368
      10210.0  0.000354715
      10215.0  0.000321476
      10220.0  0.000351808
      10225.0  0.000301013
      10230.0  0.000354125
      10235.0  0.000325308
      10240.0  0.000307898
      10245.0  0.000337339
      10250.0  0.000362174
      10255.0  0.000303317
      10260.0  0.000336410
      10265.0  0.000376555
      10270.0  0.000342959
      10275.0  0.000282655
      10280.0  0.000328254
      10285.0  0.000361913
      10290.0  0.000337551
      10295.0  0.000331795
      10300.0  0.000343264
      10305.0  0.000364205
      10310.0  0.000367075
      10315.0  0.000221347
      10320.0  0.000346629
      10325.0  0.000403807
      10330.0  0.000281095
      10335.0  0.000303406
      10340.0  0.000399491
      10345.0  0.000301793
      10350.0  0.000332915
      10355.0  0.000354685
      10360.0  0.000372433
      10365.0  0.000316549
      10370.0  0.000289374
      10375.0  0.000345808
      10380.0  0.000361171
      10385.0  0.000323440
      10390.0  0.000381168
      10395.0  0.000356116
      10400.0  0.000269988
      10405.0  0.000348974
      10410.0  0.000356332
      10415.0  0.000292817
      10420.0  0.000315272
      10425.0  0.000338360
      10430.0  0.000298552
      10435.0  0.000324953
      10440.0  0.000325631
      10445.0  0.000316521
      10450.0  0.000354863
      10455.0  0.000334798
      10460.0  0.000318515
      10465.0  0.000336086
      10470.0  0.000324140
      10475.0  0.000328967
      10480.0  0.000324995
      10485.0  0.000356422
      10490.0  0.000327517
      10495.0  0.000341225
      10500.0  0.000293552
      10505.0  0.000290622
      10510.0  0.000341461
      10515.0  0.000311302
      10520.0  0.000327772
      10525.0  0.000355704
      10530.0  0.000313462
      10535.0  0.000310381
      10540.0  0.000333937
      10545.0  0.000372694
      10550.0  0.000299725
      10555.0  0.000299246
      10560.0  0.000333717
      10565.0  0.000315459
      10570.0  0.000321169
      10575.0  0.000332998
      10580.0  0.000304302
      10585.0  0.000345698
      10590.0  0.000295805
      10595.0  0.000354709
      10600.0  0.000339275
      10605.0  0.000315623
      10610.0  0.000311660
      10615.0  0.000342047
      10620.0  0.000315237
      10625.0  0.000309245
      10630.0  0.000361497
      10635.0  0.000305280
      10640.0  0.000321113
      10645.0  0.000353124
      10650.0  0.000277877
      10655.0  0.000264304
      10660.0  0.000356324
      10665.0  0.000384052
      10670.0  0.000283205
      10675.0  0.000316284
      10680.0  0.000316353
      10685.0  0.000320191
      10690.0  0.000317517
      10695.0  0.000309768
      10700.0  0.000342356
      10705.0  0.000304838
      10710.0  0.000314539
      10715.0  0.000347097
      10720.0  0.000348335
      10725.0  0.000281481
      10730.0  0.000332703
      10735.0  0.000354487
      10740.0  0.000310010
      10745.0  0.000328208
      10750.0  0.000359763
      10755.0  0.000325662
      10760.0  0.000327120
      10765.0  0.000317274
      10770.0  0.000336983
      10775.0  0.000329258
      10780.0  0.000320600
      10785.0  0.000368897
      10790.0  0.000318305
      10795.0  0.000312980
      10800.0  0.000311756
      10805.0  0.000323798
      10810.0  0.000316669
      10815.0  0.000279091
      10820.0  0.000353774
      10825.0  0.000290741
      10830.0  0.000296850
      10835.0  0.000337337
      10840.0  0.000333097
      10845.0  0.000316448
      10850.0  0.000344778
      10855.0  0.000305902
      10860.0  0.000302357
      10865.0  0.000278206
      10870.0  0.000334387
      10875.0  0.000340218
      10880.0  0.000303620
      10885.0  0.000284460
      10890.0  0.000315640
      10895.0  0.000340309
      10900.0  0.000316566
      10905.0  0.000314391
      10910.0  0.000297046
      10915.0  0.000294996
      10920.0  0.000329958
      10925.0  0.000290749
      10930.0  0.000274714
      10935.0  0.000296848
      10940.0  0.000311472
      10945.0  0.000293058
      10950.0  0.000283414
      10955.0  0.000360179
      10960.0  0.000311929
      10965.0  0.000293882
      10970.0  0.000274101
      10975.0  0.000317415
      10980.0  0.000312528
      10985.0  0.000317355
      10990.0  0.000319457
      10995.0  0.000282073
      11000.0  0.000310185
