 *********************************************
 (reference: Madau 1995, ApJ)
 
 redshift= 0.0
 observed    IGM effective  IGM mean transmission  
 wavelength  optical depth  <exp(-tau)>
 *********************************************
   2188.2060  0.275135E-01  0.972862E+00
   2017.2510  0.207639E-01  0.979450E+00
   1846.2960  0.152842E-01  0.984832E+00
   1846.2960  0.282767E-01  0.972119E+00
   1798.4313  0.258201E-01  0.974510E+00
   1750.5666  0.235193E-01  0.976755E+00
   1750.5666  0.325727E-01  0.967952E+00
   1730.0520  0.312709E-01  0.969213E+00
   1709.5374  0.300065E-01  0.970439E+00
   1709.5374  0.371983E-01  0.963485E+00
   1698.7914  0.363955E-01  0.964259E+00
   1688.0454  0.356051E-01  0.965021E+00
   1688.0454  0.416886E-01  0.959168E+00
   1681.6959  0.411485E-01  0.959687E+00
   1675.3464  0.406135E-01  0.960200E+00
   1675.3464  0.459381E-01  0.955101E+00
   1671.2766  0.455531E-01  0.955469E+00
   1667.2068  0.451705E-01  0.955835E+00
   1667.2068  0.499364E-01  0.951290E+00
   1664.4384  0.496501E-01  0.951562E+00
   1661.6700  0.493650E-01  0.951834E+00
   1661.6700  0.536945E-01  0.947722E+00
   1659.7017  0.534748E-01  0.947930E+00
   1657.7334  0.532557E-01  0.948138E+00
   1657.7334  0.572298E-01  0.944377E+00
   1656.2835  0.570568E-01  0.944540E+00
   1654.8336  0.568842E-01  0.944703E+00
   1654.8336  0.605656E-01  0.941232E+00
   1653.7329  0.604264E-01  0.941363E+00
   1652.6322  0.602873E-01  0.941494E+00
   1652.6322  0.637166E-01  0.938271E+00
   1651.7790  0.636028E-01  0.938378E+00
   1650.9258  0.634892E-01  0.938484E+00
   1650.9258  0.666991E-01  0.935477E+00
   1650.2490  0.666046E-01  0.935565E+00
   1649.5722  0.665101E-01  0.935653E+00
   1649.5722  0.695267E-01  0.932835E+00
   1649.0277  0.694473E-01  0.932909E+00
   1648.4832  0.693680E-01  0.932983E+00
   1648.4832  0.722110E-01  0.930335E+00
   1648.0377  0.721435E-01  0.930397E+00
   1647.5922  0.720761E-01  0.930460E+00
   1647.5922  0.747663E-01  0.927960E+00
   1647.2232  0.747084E-01  0.928014E+00
   1646.8542  0.746505E-01  0.928068E+00
   1646.8542  0.771985E-01  0.925706E+00
   1646.5455  0.771485E-01  0.925752E+00
   1646.2368  0.770984E-01  0.925799E+00
   1646.2368  0.795169E-01  0.923562E+00
   1643.6934  0.790926E-01  0.923954E+00
   1641.1500  0.786700E-01  0.924345E+00
   1641.1500  0.786700E-01  0.924345E+00
   1589.7783  0.161811E+00  0.850602E+00
   1538.4067  0.239233E+00  0.787231E+00
   1487.0350  0.311008E+00  0.732708E+00
   1435.6633  0.377191E+00  0.685785E+00
   1384.2917  0.437826E+00  0.645438E+00
   1332.9200  0.492944E+00  0.610826E+00
   1281.5483  0.542560E+00  0.581258E+00
   1230.1767  0.586680E+00  0.556171E+00
   1178.8050  0.625291E+00  0.535106E+00
   1127.4333  0.658371E+00  0.517694E+00
   1076.0617  0.685885E+00  0.503644E+00
   1024.6900  0.707783E+00  0.492735E+00
    973.3183  0.724007E+00  0.484806E+00
    921.9467  0.734484E+00  0.479753E+00
    870.5750  0.698487E+00  0.497337E+00
    819.2033  0.650861E+00  0.521597E+00
    767.8317  0.602216E+00  0.547597E+00
    716.4600  0.552670E+00  0.575412E+00
    665.0883  0.502386E+00  0.605085E+00
    613.7167  0.451576E+00  0.636624E+00
    562.3450  0.400502E+00  0.669984E+00
    510.9733  0.349472E+00  0.705060E+00
    459.6017  0.298847E+00  0.741673E+00
    408.2300  0.249041E+00  0.779548E+00
    356.8583  0.200524E+00  0.818302E+00
    305.4867  0.153837E+00  0.857412E+00
    254.1150  0.109679E+00  0.896122E+00
    202.7433  0.692618E-01  0.933082E+00
    151.3717  0.351518E-01  0.965459E+00
    100.0000  0.116671E-01  0.988401E+00
 *********************************************
 redshift= 1.0
 *********************************************
   2431.3400  0.396156E-01  0.961159E+00
   2241.3900  0.298972E-01  0.970545E+00
   2051.4400  0.220071E-01  0.978233E+00
   2051.4400  0.407145E-01  0.960103E+00
   1998.2570  0.371774E-01  0.963505E+00
   1945.0740  0.338645E-01  0.966702E+00
   1945.0740  0.469002E-01  0.954183E+00
